142;Beef testicle, sliced thin, breaded and deep fried;1;Each;14;50;3;0;0;27;3;0;0;2;125
BREAK
145;Apple butter, preserves & dried fruit;0;0;-1;208;0
1;Apple Cider/Juice/Slush;1;0;1;208,6,108,162,4,3,5;0
2;Baked Potato;1;0;2;17,196;0
3;Barbeque Beef Sandwiches;1;0;3;178,201,150,18,63,149;0
4;Barbeque Pork Sandwiches;1;0;4;27,190,63,149,200,168,178,78,150;0
5;Beef - Roast, Ribs;0;0;-1;18,178,78,17,44,149;0
136;Beef Sundae;0;0;125;17;0
6;Beefburgers & Loose Meat Sandwiches;0;0;-1;123,176,215,18,79,190,200,61,196,69;0
8;Beer/Wine Coolers;0;0;6;79,120,168,149,119,167,106,175,174,117,25,78,12,53;0
9;Blooming Onion;0;0;7;164;0
119;Bologna on-a-stick;0;1;108;200;0
10;Brats;0;0;8;7,14,200,78,112,47,53,164,27,120,19,168,43,167,175,18,174;0
154;Bratwurst on a Pretzel Bun;0;0;141;218;1
11;Breakfast/Breakfast Sandwich;0;0;-1;17,120,44,190,185,121,18,14,157,63,176,72;0
12;Brownie Bites;0;0;9;200;0
